Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
6,Shady Grv,,Shady Grv,2,RD,A02,Farragut North,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A04,Woodley Park-Zoo/Adams Morgan,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A05,Cleveland Park,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A07,Tenleytown-AU,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A08,Friendship Heights,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A10,Medical Center,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A11,Grosvenor-Strathmore,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A12,North Bethesda,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B03,Union Station,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B03,Union Station,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B06,Fort Totten,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B08,Silver Spring,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B10,Wheaton,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C01,Metro Center,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C09,Crystal City,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D02,Smithsonian,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D04,Federal Center SW,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,D05,Capitol South,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,N Carrollton,,N Carrollton,1,OR,D12,Landover,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Branch Av,,Branch Av,2,GR,E03,U Street/African-Amer Civil War Memorial/Cardozo,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Branch Av,,Branch Av,2,GR,E05,Georgia Ave-Petworth,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F02,Archives-Navy Memorial-Penn Quarter,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Huntington,,Huntington,2,YL,F03,L'Enfant Plaza,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F05,Navy Yard-Ballpark,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F08,Southern Avenue,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,J02,Van Dorn Street,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
8,Largo,G05,Downtown Largo,1,SV,N02,Tysons,BRD,2025-05-01 21:59:29.885828,False,False,False,,,
6,NewCrlton,,NewCrlton,1,OR,C03,Farragut West,ARR,2025-05-01 21:59:29.885828,False,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,C04,Foggy Bottom-GWU,ARR,2025-05-01 21:59:29.885828,False,False,False,,,
