Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
8,Shady Grv,,Shady Grv,2,RD,A06,Van Ness-UDC,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A07,Tenleytown-AU,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B02,Judiciary Square,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B35,NoMa-Gallaudet U,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,C01,Metro Center,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,NewCrlton,,NewCrlton,1,OR,C02,McPherson Square,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C02,McPherson Square,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C06,Arlington Cemetery,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C08,Pentagon City,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Huntington,,Huntington,2,YL,C11,Potomac Yard,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Largo,G05,Downtown Largo,1,SV,D02,Smithsonian,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,D03,L'Enfant Plaza,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,NewCrlton,,NewCrlton,1,OR,D04,Federal Center SW,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Largo,G05,Downtown Largo,1,SV,D08,Stadium-Armory,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D11,Cheverly,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E02,Shaw-Howard U,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E03,U Street/African-Amer Civil War Memorial/Cardozo,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E04,Columbia Heights,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E05,Georgia Ave-Petworth,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E09,College Park-U of Md,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F01,Gallery Pl-Chinatown,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,F04,Waterfront,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F06,Anacostia,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,F07,Congress Heights,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,G02,Capitol Heights,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,K05,East Falls Church,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,N Carrollton,,N Carrollton,1,OR,K07,Dunn Loring-Merrifield,BRD,2025-05-01 13:04:52.092581,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A02,Farragut North,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A04,Woodley Park-Zoo/Adams Morgan,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A10,Medical Center,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A12,North Bethesda,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B01,Gallery Pl-Chinatown,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B06,Fort Totten,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B07,Takoma,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B35,NoMa-Gallaudet U,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C02,McPherson Square,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C03,Farragut West,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C08,Pentagon City,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C12,Braddock Road,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Huntington,,Huntington,2,YL,C13,King St-Old Town,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,D03,L'Enfant Plaza,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D04,Federal Center SW,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D06,Eastern Market,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,N Carrollton,,N Carrollton,1,OR,D10,Deanwood,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E06,Fort Totten,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E08,Hyattsville Crossing,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Branch Ave,,Branch Ave,2,GR,F01,Gallery Pl-Chinatown,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Greenbelt,,Greenbelt,1,GR,F03,L'Enfant Plaza,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Huntington,,Huntington,2,YL,F03,L'Enfant Plaza,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,G03,Addison Road-Seat Pleasant,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,G04,Morgan Boulevard,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,N03,Greensboro,ARR,2025-05-01 13:04:52.092581,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A05,Cleveland Park,1,2025-05-01 13:04:52.092581,True,True,False,2025-05-01 13:05:22.379898,0.5047886166666667,-0.49521138333333325
8,Shady Grv,,Shady Grv,2,RD,A10,Medical Center,1,2025-05-01 13:04:52.092581,True,True,False,2025-05-01 13:05:22.379898,0.5047886166666667,-0.49521138333333325
8,Glenmont,B11,Glenmont,1,RD,A11,Grosvenor-Strathmore,1,2025-05-01 13:04:52.092581,True,True,False,2025-05-01 13:05:22.379898,0.5047886166666667,-0.49521138333333325
